Mon Nov 29 15:34:23 2021    output.dat

         47845633 function calls (47038913 primitive calls) in 40.326 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    87875    0.068    0.000    0.453    0.000 D:\Programs\Conda\lib\site-packages\torch\nn\functional.py:1287(relu)
   470769    0.067    0.000    0.068    0.000 {built-in method builtins.iter}
    42378    0.064    0.000    0.130    0.000 D:\Programs\Conda\lib\site-packages\matplotlib\transforms.py:2004(translate)
   114909    0.064    0.000    0.095    0.000 D:\Programs\Conda\lib\enum.py:289(__call__)
    92196    0.064    0.000    0.116    0.000 D:\Programs\Conda\lib\site-packages\matplotlib\lines.py:1245(set_xdata)
    42567    0.064    0.000    0.131    0.000 D:\Programs\Conda\lib\site-packages\matplotlib\markers.py:267(_set_fillstyle)
    80671    0.063    0.000    0.177    0.000 D:\Programs\Conda\lib\site-packages\matplotlib\transforms.py:170(invalidate)
   107519    0.061    0.000    0.061    0.000 {method 'match' of 're.Pattern' objects}
    23851    0.060    0.000    0.632    0.000 D:\Programs\Conda\lib\site-packages\matplotlib\transforms.py:1447(transform)
388834/378108    0.060    0.000    0.065    0.000 {built-in method builtins.len}
    21229    0.059    0.000    0.246    0.000 D:\Programs\Conda\lib\site-packages\matplotlib\transforms.py:1956(rotate)
     6355    0.059    0.000    0.076    0.000 D:\Programs\Conda\lib\site-packages\matplotlib\transforms.py:2799(nonsingular)
    14575    0.057    0.000    0.096    0.000 D:\Programs\Conda\lib\site-packages\matplotlib\transforms.py:2017(scale)
     8531    0.056    0.000    0.805    0.000 D:\Programs\Conda\lib\site-packages\matplotlib\lines.py:744(draw)
        1    0.056    0.056    0.056    0.056 {built-in method _tkinter.create}
   375779    0.054    0.000    0.054    0.000 {method 'endswith' of 'str' objects}
 21836/62    0.054    0.000   11.495    0.185 D:\Programs\Conda\lib\site-packages\matplotlib\artist.py:33(draw_wrapper)
     4960    0.054    0.000    0.192    0.000 D:\Programs\Conda\lib\site-packages\matplotlib\ticker.py:808(_compute_offset)
    15324    0.054    0.000    0.054    0.000 D:\Programs\Conda\lib\site-packages\matplotlib\transforms.py:2879(_interval_contains_close)
   432645    0.054    0.000    0.054    0.000 {built-in method builtins.id}
    21368    0.053    0.000    0.255    0.000 D:\Programs\Conda\lib\site-packages\matplotlib\transforms.py:1067(__init__)
   102825    0.052    0.000    1.001    0.000 D:\Programs\Conda\lib\site-packages\matplotlib\figure.py:50(_stale_figure_callback)
    42930    0.052    0.000    0.104    0.000 D:\Programs\Conda\lib\site-packages\matplotlib\font_manager.py:794(set_style)
   149887    0.052    0.000    0.052    0.000 D:\Programs\Conda\lib\site-packages\numpy\core\fromnumeric.py:71(<dictcomp>)
     4960    0.051    0.000    0.132    0.000 D:\Programs\Conda\lib\site-packages\matplotlib\ticker.py:847(_set_order_of_magnitude)
     3968    0.051    0.000    0.653    0.000 D:\Programs\Conda\lib\site-packages\matplotlib\axis.py:2268(get_tick_space)
    11911    0.051    0.000    0.051    0.000 {built-in method pygame.event.get}
3689/2729    0.051    0.000    6.261    0.002 D:\Programs\Conda\lib\site-packages\matplotlib\axis.py:419(__init__)
3598/2638    0.050    0.000    6.202    0.002 D:\Programs\Conda\lib\site-packages\matplotlib\axis.py:486(__init__)
     5336    0.050    0.000    1.898    0.000 D:\Programs\Conda\lib\site-packages\matplotlib\axis.py:352(_apply_params)
   200602    0.049    0.000    0.049    0.000 D:\Programs\Conda\lib\inspect.py:2657(__init__)
21385/21141    0.049    0.000    0.261    0.000 D:\Programs\Conda\lib\site-packages\matplotlib\axes\_base.py:766(_unstale_viewLim)
   356387    0.048    0.000    0.048    0.000 {method 'append' of 'list' objects}
   110502    0.048    0.000    0.049    0.000 {built-in method _abc._abc_instancecheck}
   200602    0.048    0.000    0.048    0.000 {method 'values' of 'mappingproxy' objects}
     5824    0.047    0.000    0.056    0.000 D:\Programs\Conda\lib\site-packages\numpy\lib\function_base.py:1152(diff)
    50957    0.047    0.000    0.441    0.000 D:\Programs\Conda\lib\site-packages\numpy\core\fromnumeric.py:2249(any)
     5707    0.047    0.000    0.062    0.000 D:\Programs\Conda\lib\site-packages\numpy\lib\stride_tricks.py:114(_broadcast_to)
    16097    0.047    0.000    0.316    0.000 D:\Programs\Conda\lib\site-packages\matplotlib\axis.py:464(update_position)
    10293    0.046    0.000    0.048    0.000 D:\Programs\Conda\lib\site-packages\numpy\lib\stride_tricks.py:183(_broadcast_shape)
     5824    0.046    0.000    0.191    0.000 D:\Programs\Conda\lib\site-packages\matplotlib\ticker.py:2136(_validate_steps)
    17465    0.044    0.000    0.277    0.000 D:\Programs\Conda\lib\site-packages\matplotlib\text.py:287(_get_layout)
    10781    0.043    0.000    0.112    0.000 D:\Programs\Conda\lib\site-packages\numpy\lib\shape_base.py:612(column_stack)
    66328    0.043    0.000    0.450    0.000 D:\Programs\Conda\lib\site-packages\matplotlib\transforms.py:1315(__add__)
    28663    0.043    0.000    0.522    0.000 D:\Programs\Conda\lib\site-packages\matplotlib\transforms.py:829(from_extents)
    50957    0.043    0.000    0.525    0.000 <__array_function__ internals>:2(any)
   103432    0.043    0.000    0.120    0.000 D:\Programs\Conda\lib\site-packages\matplotlib\__init__.py:1116(is_interactive)
    42567    0.042    0.000    0.840    0.000 D:\Programs\Conda\lib\site-packages\matplotlib\markers.py:220(__init__)
    21434    0.042    0.000    0.105    0.000 D:\Programs\Conda\lib\site-packages\matplotlib\transforms.py:2546(__init__)
    48526    0.042    0.000    0.143    0.000 D:\Programs\Conda\lib\site-packages\matplotlib\artist.py:713(set_figure)
    22044    0.041    0.000    0.259    0.000 D:\Programs\Conda\lib\site-packages\matplotlib\lines.py:1045(set_color)
    17465    0.041    0.000    0.193    0.000 D:\Programs\Conda\lib\site-packages\matplotlib\text.py:834(get_prop_tup)
    47994    0.041    0.000    0.160    0.000 <__array_function__ internals>:2(dot)
   206738    0.041    0.000    0.041    0.000 D:\Programs\Conda\lib\site-packages\matplotlib\backend_bases.py:1763(_idle_draw_cntx)
    42930    0.041    0.000    0.082    0.000 D:\Programs\Conda\lib\site-packages\matplotlib\font_manager.py:804(set_variant)
     3009    0.040    0.000    0.046    0.000 {method 'draw_text_image' of 'matplotlib.backends._backend_agg.RendererAgg' objects}
    17490    0.040    0.000    0.214    0.000 D:\Programs\Conda\lib\site-packages\matplotlib\text.py:929(set_color)
   110502    0.040    0.000    0.089    0.000 D:\Programs\Conda\lib\abc.py:96(__instancecheck__)
     9915    0.040    0.000    0.075    0.000 D:\Programs\Conda\lib\site-packages\matplotlib\artist.py:1131(update_from)
    32613    0.039    0.000    0.080    0.000 D:\Programs\Conda\lib\site-packages\matplotlib\text.py:1187(set_verticalalignment)
    23421    0.039    0.000    1.662    0.000 D:\Programs\Conda\lib\site-packages\matplotlib\patches.py:271(get_transform)
11092/11031    0.039    0.000    0.160    0.000 D:\Programs\Conda\lib\site-packages\matplotlib\transforms.py:1758(__eq__)
    33905    0.038    0.000    0.098    0.000 D:\Programs\Conda\lib\site-packages\matplotlib\text.py:820(get_unitless_position)
    42626    0.038    0.000    0.204    0.000 D:\Programs\Conda\lib\site-packages\matplotlib\artist.py:377(set_transform)
    21674    0.038    0.000    0.103    0.000 D:\Programs\Conda\lib\site-packages\matplotlib\patches.py:764(_convert_units)
   139722    0.038    0.000    0.046    0.000 {built-in method builtins.setattr}
   177804    0.037    0.000    0.073    0.000 D:\Programs\Conda\lib\site-packages\matplotlib\transforms.py:222(<lambda>)
   251403    0.037    0.000    0.037    0.000 {method 'lower' of 'str' objects}
     4960    0.037    0.000    0.042    0.000 D:\Programs\Conda\lib\site-packages\matplotlib\ticker.py:2020(scale_range)
    43734    0.037    0.000    0.211    0.000 D:\Programs\Conda\lib\site-packages\numpy\core\fromnumeric.py:2714(amin)
    12510    0.037    0.000    0.068    0.000 D:\Programs\Conda\lib\site-packages\matplotlib\_api\__init__.py:133(check_shape)
    63447    0.036    0.000    0.067    0.000 D:\Programs\Conda\lib\site-packages\matplotlib\lines.py:1257(set_ydata)
     7196    0.036    0.000    0.107    0.000 D:\Programs\Conda\lib\site-packages\matplotlib\backend_bases.py:751(__init__)
    11648    0.036    0.000    0.131    0.000 D:\Programs\Conda\lib\site-packages\matplotlib\axis.py:1609(_set_formatter)
   167184    0.036    0.000    0.036    0.000 D:\Programs\Conda\lib\site-packages\matplotlib\transforms.py:1019(get_points)
    87985    0.036    0.000    0.036    0.000 c:\Users\Jaen\Documents\RU 20-21\SEM7\Thesis\snake-ai-pytorch-main\stats.py:72(iterate)
    39543    0.035    0.000    0.303    0.000 D:\Programs\Conda\lib\site-packages\matplotlib\colors.py:137(is_color_like)
    50098    0.035    0.000    0.044    0.000 D:\Programs\Conda\lib\site-packages\matplotlib\cbook\__init__.py:858(clean)
    12510    0.035    0.000    0.174    0.000 D:\Programs\Conda\lib\site-packages\matplotlib\path.py:98(__init__)
