Mon Nov 29 09:44:32 2021    output.dat

         45699553 function calls (44755293 primitive calls) in 48.241 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    23607    0.053    0.000    0.196    0.000 D:\Programs\Conda\lib\site-packages\numpy\core\fromnumeric.py:39(_wrapit)
    70432    0.053    0.000    0.158    0.000 D:\Programs\Conda\lib\site-packages\matplotlib\transforms.py:170(invalidate)
402007/400713    0.053    0.000    0.054    0.000 {built-in method builtins.len}
     1632    0.053    0.000    0.471    0.000 D:\Programs\Conda\lib\site-packages\matplotlib\ticker.py:2202(_raw_ticks)
    17963    0.052    0.000    0.082    0.000 D:\Programs\Conda\lib\site-packages\matplotlib\font_manager.py:697(__hash__)
    17428    0.050    0.000    0.206    0.000 D:\Programs\Conda\lib\site-packages\matplotlib\transforms.py:1956(rotate)
 17814/51    0.050    0.000    7.836    0.154 D:\Programs\Conda\lib\site-packages\matplotlib\artist.py:33(draw_wrapper)
    96813    0.049    0.000    0.053    0.000 {built-in method _abc._abc_instancecheck}
   167563    0.048    0.000    0.048    0.000 D:\Programs\Conda\lib\inspect.py:2657(__init__)
        1    0.047    0.047    0.047    0.047 {built-in method _tkinter.create}
    17513    0.046    0.000    0.259    0.000 D:\Programs\Conda\lib\site-packages\matplotlib\transforms.py:1067(__init__)
     5020    0.046    0.000    0.492    0.000 D:\Programs\Conda\lib\site-packages\matplotlib\text.py:864(get_window_extent)
   351092    0.045    0.000    0.045    0.000 {built-in method builtins.id}
   167615    0.045    0.000    0.045    0.000 {method 'values' of 'mappingproxy' objects}
     2765    0.045    0.000    0.051    0.000 {method 'draw_text_image' of 'matplotlib.backends._backend_agg.RendererAgg' objects}
3058/2274    0.045    0.000    5.361    0.002 D:\Programs\Conda\lib\site-packages\matplotlib\axis.py:419(__init__)
   249454    0.044    0.000    0.044    0.000 {built-in method torch._C._has_torch_function_unary}
    32615    0.043    0.000    0.282    0.000 D:\Programs\Conda\lib\site-packages\numpy\core\fromnumeric.py:52(_wrapfunc)
    54352    0.043    0.000    0.077    0.000 D:\Programs\Conda\lib\site-packages\matplotlib\lines.py:1245(set_xdata)
3088/2304    0.043    0.000    5.590    0.002 D:\Programs\Conda\lib\site-packages\matplotlib\axis.py:486(__init__)
     4368    0.042    0.000    1.646    0.000 D:\Programs\Conda\lib\site-packages\matplotlib\axis.py:352(_apply_params)
    34162    0.042    0.000    0.082    0.000 D:\Programs\Conda\lib\site-packages\matplotlib\font_manager.py:794(set_style)
     4768    0.041    0.000    0.050    0.000 D:\Programs\Conda\lib\site-packages\numpy\lib\function_base.py:1152(diff)
    43252    0.041    0.000    0.393    0.000 D:\Programs\Conda\lib\site-packages\numpy\core\fromnumeric.py:2249(any)
     4768    0.041    0.000    0.168    0.000 D:\Programs\Conda\lib\site-packages\matplotlib\ticker.py:2136(_validate_steps)
   296138    0.041    0.000    0.041    0.000 {method 'append' of 'list' objects}
11867/9877    0.040    0.000    0.178    0.000 D:\Programs\Conda\lib\site-packages\matplotlib\transforms.py:2401(get_affine)
    37550    0.040    0.000    0.040    0.000 {method 'reshape' of 'numpy.ndarray' objects}
     9250    0.040    0.000    0.073    0.000 D:\Programs\Conda\lib\site-packages\matplotlib\artist.py:1131(update_from)
    36860    0.039    0.000    0.780    0.000 D:\Programs\Conda\lib\site-packages\matplotlib\markers.py:220(__init__)
     9150    0.038    0.000    0.098    0.000 D:\Programs\Conda\lib\site-packages\numpy\lib\shape_base.py:612(column_stack)
      816    0.038    0.000    4.688    0.006 D:\Programs\Conda\lib\site-packages\matplotlib\axis.py:1023(_update_ticks)
     1632    0.038    0.000    0.161    0.000 D:\Programs\Conda\lib\site-packages\matplotlib\ticker.py:884(_set_format)
    22400    0.038    0.000    0.072    0.000 D:\Programs\Conda\lib\site-packages\matplotlib\cbook\__init__.py:907(get_siblings)
